@relation 'TrainingData_g1-12-weka.filters.unsupervised.attribute.Remove-V-R17,25'

@attribute current_lamp_study {off,standby,on}
@attribute class {OtherActivity,g1-12}

@data
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
off,OtherActivity
